County Name,State Name,Confirmed,Newly Confirmed,Death,New Death,Fatality Rate,STATEFP,COUNTYFP,Last Update
Ingham,Michigan,1,0,0,0,0,26,065,2020-03-16 13:00 EDT
Montcalm,Michigan,1,0,0,0,0,26,117,2020-03-16 13:00 EDT
Bay,Michigan,1,0,0,0,0,26,017,2020-03-16 13:00 EDT
Charlevoix,Michigan,1,0,0,0,0,26,029,2020-03-16 13:00 EDT
Monroe,Michigan,1,0,0,0,0,26,115,2020-03-16 13:00 EDT
Ottawa,Michigan,1,0,0,0,0,26,139,2020-03-16 13:00 EDT
Clair,Michigan,1,0,0,0,0,26,,2020-03-16 13:00 EDT
Fairfax,Virginia,10,0,0,0,0,51,059,2020-03-16 13:00 EDT
Fairfax,Virginia,10,0,0,0,0,51,600,2020-03-16 13:00 EDT
Arlington,Virginia,9,1,0,0,0,51,013,2020-03-16 13:00 EDT
James City,Virginia,8,0,1,0,0.125,51,095,2020-03-16 13:00 EDT
Loudoun,Virginia,5,0,0,0,0,51,107,2020-03-16 13:00 EDT
Virginia Beach City,Virginia,4,0,0,0,0,51,810,2020-03-16 13:00 EDT
Charlottesville City,Virginia,4,4,0,0,0,51,540,2020-03-16 13:00 EDT
Prince William,Virginia,3,0,0,0,0,51,153,2020-03-16 13:00 EDT
Alexandria City,Virginia,2,0,0,0,0,51,510,2020-03-16 13:00 EDT
Chesterfield,Virginia,2,1,0,0,0,51,041,2020-03-16 13:00 EDT
Spotsylvania,Virginia,1,0,0,0,0,51,177,2020-03-16 13:00 EDT
Hanover,Virginia,1,0,0,0,0,51,085,2020-03-16 13:00 EDT
Prince Edward,Virginia,1,0,0,0,0,51,147,2020-03-16 13:00 EDT
Harrisonburg,Virginia,1,0,0,0,0,51,660,2020-03-16 13:00 EDT
Washington,Oregon,13,0,0,0,0,41,067,2020-03-16 13:00 EDT
Linn,Oregon,10,0,0,0,0,41,043,2020-03-16 13:00 EDT
Deschutes,Oregon,4,0,0,0,0,41,017,2020-03-16 13:00 EDT
Jackson,Oregon,2,0,0,0,0,41,029,2020-03-16 13:00 EDT
Umatilla,Oregon,2,0,0,0,0,41,059,2020-03-16 13:00 EDT
Marion,Oregon,2,0,0,0,0,41,047,2020-03-16 13:00 EDT
Klamath,Oregon,1,0,0,0,0,41,035,2020-03-16 13:00 EDT
Douglas,Oregon,1,0,0,0,0,41,019,2020-03-16 13:00 EDT
Multnomah,Oregon,1,0,1,0,1,41,051,2020-03-16 13:00 EDT
Polk,Oregon,1,0,0,0,0,41,053,2020-03-16 13:00 EDT
Clackamas,Oregon,1,0,0,0,0,41,005,2020-03-16 13:00 EDT
Yamhill,Oregon,1,0,0,0,0,41,071,2020-03-16 13:00 EDT
Davidson,Tennessee,17,0,0,0,0,47,037,2020-03-16 13:00 EDT
Williamson,Tennessee,14,0,0,0,0,47,187,2020-03-16 13:00 EDT
Shelby,Tennessee,2,0,0,0,0,47,157,2020-03-16 13:00 EDT
Sullivan,Tennessee,1,0,0,0,0,47,163,2020-03-16 13:00 EDT
Knox,Tennessee,1,0,0,0,0,47,093,2020-03-16 13:00 EDT
Hamilton,Tennessee,1,0,0,0,0,47,065,2020-03-16 13:00 EDT
Jefferson,Tennessee,1,0,0,0,0,47,089,2020-03-16 13:00 EDT
Rutherford,Tennessee,1,0,0,0,0,47,149,2020-03-16 13:00 EDT
Campbell,Tennessee,1,0,0,0,0,47,013,2020-03-16 13:00 EDT
Cuyahoga,Ohio,14,0,0,0,0,39,035,2020-03-16 13:00 EDT
Butler,Ohio,6,0,0,0,0,39,017,2020-03-16 13:00 EDT
Stark,Ohio,3,0,0,0,0,39,151,2020-03-16 13:00 EDT
Franklin,Ohio,3,0,0,0,0,39,049,2020-03-16 13:00 EDT
Trumbull,Ohio,2,0,0,0,0,39,155,2020-03-16 13:00 EDT
Belmont,Ohio,2,0,0,0,0,39,013,2020-03-16 13:00 EDT
Summit,Ohio,2,0,0,0,0,39,153,2020-03-16 13:00 EDT
Lorain,Ohio,2,0,0,0,0,39,093,2020-03-16 13:00 EDT
Lucas,Ohio,1,0,0,0,0,39,095,2020-03-16 13:00 EDT
Tuscarawas,Ohio,1,0,0,0,0,39,157,2020-03-16 13:00 EDT
Medina,Ohio,1,0,0,0,0,39,103,2020-03-16 13:00 EDT
Geauga,Ohio,1,1,0,0,0,39,055,2020-03-16 13:00 EDT
Montgomery,Maryland,15,3,0,0,0,24,031,2020-03-16 13:00 EDT
Prince George's,Maryland,10,0,0,0,0,24,033,2020-03-16 13:00 EDT
Baltimore,Maryland,4,0,0,0,0,24,005,2020-03-16 13:00 EDT
Baltimore,Maryland,4,0,0,0,0,24,510,2020-03-16 13:00 EDT
Harford,Maryland,2,0,0,0,0,24,025,2020-03-16 13:00 EDT
Charles,Maryland,1,0,0,0,0,24,017,2020-03-16 13:00 EDT
Anne Arundel,Maryland,1,0,0,0,0,24,003,2020-03-16 13:00 EDT
Carroll,Maryland,1,0,0,0,0,24,013,2020-03-16 13:00 EDT
Baltimore City,Maryland,1,0,0,0,0,24,510,2020-03-16 13:00 EDT
Howard,Maryland,1,0,0,0,0,24,027,2020-03-16 13:00 EDT
Talbot,Maryland,1,0,0,0,0,24,041,2020-03-16 13:00 EDT
Fond du Lac,Wisconsin,11,0,0,0,0,55,039,2020-03-16 13:00 EDT
Milwaukee,Wisconsin,7,0,0,0,0,55,079,2020-03-16 13:00 EDT
Dane,Wisconsin,6,0,0,0,0,55,025,2020-03-16 13:00 EDT
Waukesha,Wisconsin,3,0,0,0,0,55,133,2020-03-16 13:00 EDT
Sheboygan,Wisconsin,3,0,0,0,0,55,117,2020-03-16 13:00 EDT
Pierce,Wisconsin,1,0,0,0,0,55,093,2020-03-16 13:00 EDT
Racine,Wisconsin,1,0,0,0,0,55,101,2020-03-16 13:00 EDT
Winnebago,Wisconsin,1,0,0,0,0,55,139,2020-03-16 13:00 EDT
Wood,Wisconsin,1,0,0,0,0,55,141,2020-03-16 13:00 EDT
Wake,North Carolina,14,0,0,0,0,37,183,2020-03-16 13:00 EDT
Mecklenburg,North Carolina,4,0,0,0,0,37,119,2020-03-16 13:00 EDT
Harnett,North Carolina,3,1,0,0,0,37,085,2020-03-16 13:00 EDT
Forsyth,North Carolina,2,0,0,0,0,37,067,2020-03-16 13:00 EDT
Johnston,North Carolina,2,0,0,0,0,37,101,2020-03-16 13:00 EDT
Chatham,North Carolina,1,0,0,0,0,37,037,2020-03-16 13:00 EDT
Durham,North Carolina,1,0,0,0,0,37,063,2020-03-16 13:00 EDT
Cabarrus,North Carolina,1,0,0,0,0,37,025,2020-03-16 13:00 EDT
Onslow,North Carolina,1,0,0,0,0,37,133,2020-03-16 13:00 EDT
Wayne,North Carolina,1,0,0,0,0,37,191,2020-03-16 13:00 EDT
Brunswick,North Carolina,1,0,0,0,0,37,019,2020-03-16 13:00 EDT
Craven,North Carolina,1,0,0,0,0,37,049,2020-03-16 13:00 EDT
Watauga,North Carolina,1,0,0,0,0,37,189,2020-03-16 13:00 EDT
Wilson,North Carolina,1,0,0,0,0,37,195,2020-03-16 13:00 EDT
Kershaw,South Carolina,14,0,0,0,0,45,055,2020-03-16 13:00 EDT
Beaufort,South Carolina,3,0,0,0,0,45,013,2020-03-16 13:00 EDT
Horry,South Carolina,3,0,0,0,0,45,051,2020-03-16 13:00 EDT
Lancaster,South Carolina,2,0,0,0,0,45,057,2020-03-16 13:00 EDT
Anderson,South Carolina,2,0,0,0,0,45,007,2020-03-16 13:00 EDT
Charleston,South Carolina,1,0,0,0,0,45,019,2020-03-16 13:00 EDT
Spartanburg,South Carolina,1,0,0,0,0,45,083,2020-03-16 13:00 EDT
Lexington,South Carolina,1,0,1,1,1,45,063,2020-03-16 13:00 EDT
Greenville,South Carolina,1,0,0,0,0,45,045,2020-03-16 13:00 EDT
Salt Lake,Utah,14,0,0,0,0,49,035,2020-03-16 13:00 EDT
Non-Utah resident,Utah,7,0,0,0,0,49,,2020-03-16 13:00 EDT
Davis,Utah,3,0,0,0,0,49,011,2020-03-16 13:00 EDT
Summit,Utah,2,0,0,0,0,49,043,2020-03-16 13:00 EDT
Weber-Morgan,Utah,1,0,0,0,0,49,057,2020-03-16 13:00 EDT
Southwest Utah,Utah,1,0,0,0,0,49,,2020-03-16 13:00 EDT
Clark,Nevada,16,0,0,0,0,32,003,2020-03-16 13:00 EDT
Washoe,Nevada,9,0,0,0,0,32,031,2020-03-16 13:00 EDT
Ormsby,Nevada,1,0,0,0,0,32,510,2020-03-16 13:00 EDT
Fairfield,Connecticut,16,0,0,0,0,09,001,2020-03-16 13:00 EDT
New Haven,Connecticut,4,0,0,0,0,09,009,2020-03-16 13:00 EDT
Litchfield,Connecticut,3,0,0,0,0,09,005,2020-03-16 13:00 EDT
Hartford,Connecticut,3,0,0,0,0,09,003,2020-03-16 13:00 EDT
Marion,Indiana,7,1,0,0,0,18,097,2020-03-16 13:00 EDT
Hendricks,Indiana,3,1,0,0,0,18,063,2020-03-16 13:00 EDT
Johnson,Indiana,3,0,0,0,0,18,081,2020-03-16 13:00 EDT
Howard,Indiana,2,1,0,0,0,18,067,2020-03-16 13:00 EDT
Noble,Indiana,1,0,0,0,0,18,113,2020-03-16 13:00 EDT
Adams,Indiana,1,0,0,0,0,18,001,2020-03-16 13:00 EDT
Boone,Indiana,1,0,0,0,0,18,011,2020-03-16 13:00 EDT
St. Joseph,Indiana,1,0,0,0,0,18,141,2020-03-16 13:00 EDT
Hancock,Indiana,1,0,0,0,0,18,059,2020-03-16 13:00 EDT
Wells,Indiana,1,0,0,0,0,18,179,2020-03-16 13:00 EDT
LaPorte,Indiana,1,0,0,0,0,18,091,2020-03-16 13:00 EDT
Hamilton,Indiana,1,0,0,0,0,18,057,2020-03-16 13:00 EDT
Floyd,Indiana,1,0,0,0,0,18,043,2020-03-16 13:00 EDT
Bartholomew,Indiana,1,1,0,0,0,18,005,2020-03-16 13:00 EDT
Johnson,Iowa,15,0,0,0,0,19,103,2020-03-16 13:00 EDT
Allamakee,Iowa,2,0,0,0,0,19,005,2020-03-16 13:00 EDT
Pottawattamie,Iowa,1,0,0,0,0,19,155,2020-03-16 13:00 EDT
Carroll,Iowa,1,0,0,0,0,19,027,2020-03-16 13:00 EDT
Harrison,Iowa,1,0,0,0,0,19,085,2020-03-16 13:00 EDT
Dallas,Iowa,1,0,0,0,0,19,049,2020-03-16 13:00 EDT
Polk,Iowa,1,0,0,0,0,19,153,2020-03-16 13:00 EDT
Jefferson,Arkansas,3,0,0,0,0,05,069,2020-03-16 13:00 EDT
Jefferson,Alabama,12,0,0,0,0,01,073,2020-03-16 13:00 EDT
Tuscaloosa,Alabama,3,0,0,0,0,01,125,2020-03-16 13:00 EDT
Shelby,Alabama,2,0,0,0,0,01,117,2020-03-16 13:00 EDT
Montgomery,Alabama,1,0,0,0,0,01,101,2020-03-16 13:00 EDT
Elmore,Alabama,1,0,0,0,0,01,051,2020-03-16 13:00 EDT
Limestone,Alabama,1,0,0,0,0,01,083,2020-03-16 13:00 EDT
Baldwin,Alabama,1,0,0,0,0,01,003,2020-03-16 13:00 EDT
Lee,Alabama,1,0,0,0,0,01,081,2020-03-16 13:00 EDT
Providence,Rhode Island,21,1,0,0,0,44,007,2020-03-16 13:00 EDT
Harrison,Kentucky,6,0,0,0,0,21,097,2020-03-16 13:00 EDT
Jefferson,Kentucky,6,0,0,0,0,21,111,2020-03-16 13:00 EDT
Fayette,Kentucky,5,0,0,0,0,21,067,2020-03-16 13:00 EDT
Montgomery,Kentucky,1,0,0,0,0,21,173,2020-03-16 13:00 EDT
Nelson,Kentucky,1,0,0,0,0,21,179,2020-03-16 13:00 EDT
Clark,Kentucky,1,0,0,0,0,21,049,2020-03-16 13:00 EDT
Bourbon,Kentucky,1,1,1,1,1,21,017,2020-03-16 13:00 EDT
Maricopa,Arizona,8,4,0,0,0,04,013,2020-03-16 13:00 EDT
Pinal,Arizona,5,0,0,0,0,04,021,2020-03-16 13:00 EDT
Pima,Arizona,4,1,0,0,0,04,019,2020-03-16 13:00 EDT
Graham,Arizona,1,0,0,0,0,04,009,2020-03-16 13:00 EDT
Douglas,Nebraska,16,0,0,0,0,31,055,2020-03-16 13:00 EDT
Knox,Nebraska,1,0,0,0,0,31,107,2020-03-16 13:00 EDT
Cass,Nebraska,1,0,0,0,0,31,025,2020-03-16 13:00 EDT
Washington,District of Columbia,17,0,0,0,0,11,001,2020-03-16 13:00 EDT
Bernalillo,New Mexico,10,0,0,0,0,35,001,2020-03-16 13:00 EDT
Santa Fe,New Mexico,3,0,0,0,0,35,049,2020-03-16 13:00 EDT
Socorro,New Mexico,2,0,0,0,0,35,053,2020-03-16 13:00 EDT
Sandoval,New Mexico,2,0,0,0,0,35,043,2020-03-16 13:00 EDT
Cumberland,Maine,13,5,0,0,0,23,005,2020-03-16 13:00 EDT
Lincoln,Maine,2,0,0,0,0,23,015,2020-03-16 13:00 EDT
Androscoggin,Maine,1,0,0,0,0,23,001,2020-03-16 13:00 EDT
Rockingham,New Hampshire,9,0,0,0,0,33,015,2020-03-16 13:00 EDT
Grafton,New Hampshire,3,0,0,0,0,33,009,2020-03-16 13:00 EDT
Hillsborough,New Hampshire,1,0,0,0,0,33,011,2020-03-16 13:00 EDT
Windsor,Vermont,3,0,0,0,0,50,027,2020-03-16 13:00 EDT
Bennington,Vermont,2,0,0,0,0,50,003,2020-03-16 13:00 EDT
Chittenden,Vermont,2,0,0,0,0,50,007,2020-03-16 13:00 EDT
Washington,Vermont,1,0,0,0,0,50,023,2020-03-16 13:00 EDT
Johnson,Kansas,8,2,0,0,0,20,091,2020-03-16 13:00 EDT
Wyandotte,Kansas,1,0,1,0,1,20,209,2020-03-16 13:00 EDT
Butler,Kansas,1,0,0,0,0,20,015,2020-03-16 13:00 EDT
Franklin,Kansas,1,0,0,0,0,20,059,2020-03-16 13:00 EDT
Forrest,Mississippi,3,0,0,0,0,28,035,2020-03-16 13:00 EDT
Pearl River,Mississippi,2,0,0,0,0,28,109,2020-03-16 13:00 EDT
Copiah,Mississippi,2,0,0,0,0,28,029,2020-03-16 13:00 EDT
Hinds,Mississippi,2,0,0,0,0,28,049,2020-03-16 13:00 EDT
Leflore,Mississippi,1,0,0,0,0,28,083,2020-03-16 13:00 EDT
Minnehaha,South Dakota,3,0,0,0,0,46,099,2020-03-16 13:00 EDT
Pennington,South Dakota,1,0,1,0,1,46,103,2020-03-16 13:00 EDT
Beadle,South Dakota,1,0,0,0,0,46,005,2020-03-16 13:00 EDT
Charles Mix,South Dakota,1,0,0,0,0,46,023,2020-03-16 13:00 EDT
Davison,South Dakota,1,0,0,0,0,46,035,2020-03-16 13:00 EDT
Bon Homme,South Dakota,1,0,0,0,0,46,009,2020-03-16 13:00 EDT
McCook,South Dakota,1,0,0,0,0,46,087,2020-03-16 13:00 EDT
Tulsa,Oklahoma,3,0,0,0,0,40,143,2020-03-16 13:00 EDT
Jackson,Oklahoma,1,0,0,0,0,40,065,2020-03-16 13:00 EDT
Oklahoma,Oklahoma,1,0,0,0,0,40,109,2020-03-16 13:00 EDT
Cleveland,Oklahoma,1,0,0,0,0,40,027,2020-03-16 13:00 EDT
Payne,Oklahoma,1,0,0,0,0,40,119,2020-03-16 13:00 EDT
Kay,Oklahoma,1,1,0,0,0,40,071,2020-03-16 13:00 EDT
Honolulu,Hawaii,4,0,0,0,0,15,003,2020-03-16 13:00 EDT
Kauai,Hawaii,2,0,0,0,0,15,007,2020-03-16 13:00 EDT
Maui,Hawaii,1,0,0,0,0,15,009,2020-03-16 13:00 EDT
New Castle,Delaware,7,0,0,0,0,10,003,2020-03-16 13:00 EDT
Missoula,Montana,2,0,0,0,0,30,063,2020-03-16 13:00 EDT
Gallatin,Montana,1,0,0,0,0,30,031,2020-03-16 13:00 EDT
Yellowstone,Montana,1,0,0,0,0,30,111,2020-03-16 13:00 EDT
Silver Bow,Montana,1,0,0,0,0,30,093,2020-03-16 13:00 EDT
Lewis and Clark,Montana,1,0,0,0,0,30,049,2020-03-16 13:00 EDT
Greene,Missouri,3,1,0,0,0,29,077,2020-03-16 13:00 EDT
St. Louis,Missouri,2,0,0,0,0,29,189,2020-03-16 13:00 EDT
St. Louis,Missouri,2,0,0,0,0,29,510,2020-03-16 13:00 EDT
Henry,Missouri,1,0,0,0,0,29,083,2020-03-16 13:00 EDT
Ada,Idaho,2,0,0,0,0,16,001,2020-03-16 13:00 EDT
Blaine,Idaho,1,0,0,0,0,16,013,2020-03-16 13:00 EDT
Teton,Idaho,1,0,0,0,0,16,081,2020-03-16 13:00 EDT
Unknown,Idaho,1,0,0,0,0,16,,2020-03-16 13:00 EDT
Puerto Rico,Puerto Rico,5,0,0,0,0,72,,2020-03-16 13:00 EDT
Sheridan County,Wyoming,1,0,0,0,0,56,033,2020-03-16 13:00 EDT
Fremont,Wyoming,1,0,0,0,0,56,013,2020-03-16 13:00 EDT
Sheridan,Wyoming,1,0,0,0,0,56,033,2020-03-16 13:00 EDT
Ward,North Dakota,1,0,0,0,0,38,101,2020-03-16 13:00 EDT
Anchorage,Alaska,1,0,0,0,0,02,020,2020-03-16 13:00 EDT
Unassigned,New York,203,203,0,0,0,36,,2020-03-16 13:00 EDT
Unassigned,Washington,102,0,0,0,0,53,,2020-03-16 13:00 EDT
Unassigned,Massachusetts,2,0,0,0,0,25,,2020-03-16 13:00 EDT
Unassigned,Florida,30,0,1,0,0.033,12,,2020-03-16 13:00 EDT
Unassigned,Colorado,1,0,0,0,0,08,,2020-03-16 13:00 EDT
Unassigned,Georgia,11,0,0,0,0,13,,2020-03-16 13:00 EDT
Unassigned,Illinois,12,0,0,0,0,17,,2020-03-16 13:00 EDT
Unassigned,Minnesota,19,19,0,0,0,27,,2020-03-16 13:00 EDT
Unassigned,Michigan,1,0,0,0,0,26,,2020-03-16 13:00 EDT
Unassigned,Virginia,1,1,0,0,0,51,,2020-03-16 13:00 EDT
Unassigned,Arkansas,10,6,0,0,0,05,,2020-03-16 13:00 EDT
Unassigned,Arkansas,9,0,0,0,0,05,,2020-03-16 13:00 EDT
Unassigned,Vermont,4,4,0,0,0,50,,2020-03-16 13:00 EDT
Unassigned,Montana,1,0,0,0,0,30,,2020-03-16 13:00 EDT
Unassigned,Guam,3,0,0,0,0,66,,2020-03-16 13:00 EDT
Unassigned,US Virgin Islands,1,0,0,0,0,78,,2020-03-16 13:00 EDT
Konx,Maine,1,0,0,0,0,23,013,2020-03-16 13:00 EDT